Material,Category,Thermal Stability,Magnetism,Melting Point,Density,Toxicity,Polymer Type,Additives
Aluminum,Metal,High,Non-ferrous,660,2.7,Low,,
Aluminum Alloys,Metal,High,Non-ferrous,580,2.8,Low,,
Cobalt,Metal,High,Ferrous,1495,8.9,High,,
Cobalt Alloys,Metal,High,Ferrous,1400,8.5,High,,
Copper,Metal,High,Non-ferrous,1085,8.96,Low,,
Brass,Metal,High,Non-ferrous,950,8.5,Low,,
Bronze,Metal,High,Non-ferrous,1000,8.8,Low,,
Iron,Metal,High,Ferrous,1538,7.87,Low,,
Steel (Carbon),Metal,High,Ferrous,1500,7.85,Low,,
Steel (Stainless),Metal,High,Ferrous,1400,8.0,Low,,
Steel (Alloy),Metal,High,Ferrous,1450,7.8,Low,,
Magnesium,Metal,Moderate,Non-ferrous,650,1.74,Low,,
Magnesium Alloys,Metal,Moderate,Non-ferrous,600,1.8,Low,,
Molybdenum,Metal,Very High,Non-ferrous,2623,10.2,Moderate,,
Molybdenum Alloys,Metal,Very High,Non-ferrous,2500,10.0,Moderate,,
Nickel,Metal,High,Ferrous,1455,8.9,Moderate,,
Nickel Alloys,Metal,High,Ferrous,1400,8.5,Moderate,,
Lead,Metal,Low,Non-ferrous,327,11.34,Very High,,
Babbitt (Lead Alloy),Metal,Low,Non-ferrous,300,9.5,Very High,,
Tin,Metal,Low,Non-ferrous,232,7.31,Low,,
Pewter (Tin Alloy),Metal,Low,Non-ferrous,220,7.5,Low,,
Titanium,Metal,Very High,Non-ferrous,1668,4.5,Low,,
Titanium Alloys,Metal,Very High,Non-ferrous,1600,4.4,Low,,
Tungsten,Metal,Very High,Non-ferrous,3422,19.25,Low,,
Tungsten Alloys,Metal,Very High,Non-ferrous,3000,17.0,Low,,
Zinc,Metal,Moderate,Non-ferrous,420,7.14,Low,,
Zinc Alloys,Metal,Moderate,Non-ferrous,380,6.8,Low,,
Zirconium,Metal,Very High,Non-ferrous,1855,6.52,Low,,
Zirconium Alloys,Metal,Very High,Non-ferrous,1800,6.5,Low,,
Acrylics,Polymer,Moderate,Non-magnetic,160,1.18,Low,PMMA,Yes
Epoxies,Polymer,High,Non-magnetic,,1.2,Moderate,Epoxy,Yes
Melamines,Polymer,High,Non-magnetic,,1.5,Low,Melamine,Yes
Nylons,Polymer,Moderate,Non-magnetic,220,1.15,Low,Nylon,Yes
Polycarbonates,Polymer,High,Non-magnetic,155,1.2,Low,PC,Yes
Polyesters,Polymer,Moderate,Non-magnetic,250,1.4,Low,Polyester,Yes
HDPE (High Density Polyethylene),Polymer,Low,Non-magnetic,130,0.95,Low,HDPE,No
LDPE (Low Density Polyethylene),Polymer,Low,Non-magnetic,110,0.92,Low,LDPE,No
PET (Polyethylene Terephthalate),Polymer,Moderate,Non-magnetic,260,1.38,Low,PET,No
Polyformaldehyde (POM),Polymer,Moderate,Non-magnetic,175,1.41,Low,POM,Yes
